2000,Action,3991
2000,Adult,2352
2000,Adventure,2854
2000,Animation,4233
2000,Biography,881
2000,Comedy,14601
2000,Crime,3374
2000,Documentary,7160
2000,Drama,18170
2000,Family,6145
2000,Fantasy,1410
2000,Game-Show,4089
2000,History,771
2000,Horror,1048
2000,Music,3134
2000,Musical,250
2000,Mystery,1717
2000,News,4638
2000,Reality-TV,993
2000,Romance,7126
2000,Sci-Fi,975
2000,Short,5243
2000,Sport,1498
2000,Talk-Show,5256
2000,Thriller,1092
2000,War,125
2000,Western,36
2001,Action,4300
2001,Adult,2633
2001,Adventure,2823
2001,Animation,5085
2001,Biography,919
2001,Comedy,15543
2001,Crime,3765
2001,Documentary,8525
2001,Drama,18652
2001,Family,6778
2001,Fantasy,1626
2001,Game-Show,4108
2001,History,763
2001,Horror,938
2001,Music,3272
2001,Musical,316
2001,Mystery,1627
2001,News,5436
2001,Reality-TV,1649
2001,Romance,7869
2001,Sci-Fi,1143
2001,Short,6070
2001,Sport,1911
2001,Talk-Show,6212
2001,Thriller,1036
2001,War,226
2001,Western,51
2002,Action,4362
2002,Adult,3170
2002,Adventure,3301
2002,Animation,5815
2002,Biography,802
2002,Comedy,16991
2002,Crime,4477
2002,Documentary,9564
2002,Drama,20155
2002,Family,7081
2002,Fantasy,1569
2002,Game-Show,3731
2002,History,944
2002,Horror,1018
2002,Music,3760
2002,Musical,525
2002,Mystery,1715
2002,News,5092
2002,Reality-TV,2164
2002,Romance,8290
2002,Sci-Fi,1004
2002,Short,7278
2002,Sport,2233
2002,Talk-Show,7276
2002,Thriller,1122
2002,War,233
2002,Western,112
2003,Action,4511
2003,Adult,4170
2003,Adventure,3819
2003,Animation,5913
2003,Biography,782
2003,Comedy,19703
2003,Crime,4475
2003,Documentary,11637
2003,Drama,23020
2003,Family,7866
2003,Fantasy,1755
2003,Game-Show,4353
2003,History,1129
2003,Horror,1198
2003,Music,4972
2003,Musical,1020
2003,Mystery,2181
2003,News,5374
2003,Reality-TV,3389
2003,Romance,9530
2003,Sci-Fi,989
2003,Short,8708
2003,Sport,2052
2003,Talk-Show,8847
2003,Thriller,1093
2003,War,255
2003,Western,58
2004,Action,4614
2004,Adult,5337
2004,Adventure,3946
2004,Animation,6081
2004,Biography,1011
2004,Comedy,21998
2004,Crime,4464
2004,Documentary,13753
2004,Drama,23979
2004,Family,8044
2004,Fantasy,1774
2004,Game-Show,4785
2004,History,1476
2004,Horror,1899
2004,Music,6247
2004,Musical,460
2004,Mystery,2204
2004,News,6888
2004,Reality-TV,5005
2004,Romance,11444
2004,Sci-Fi,1031
2004,Short,11178
2004,Sport,2386
2004,Talk-Show,11235
2004,Thriller,1166
2004,War,373
2004,Western,80
2005,Action,4947
2005,Adult,6068
2005,Adventure,4218
2005,Animation,7150
2005,Biography,1166
2005,Comedy,24610
2005,Crime,5075
2005,Documentary,15548
2005,Drama,28750
2005,Family,8612
2005,Fantasy,2287
